time,vehicle_id,x,y
53,23,-4.8,494.9
54,23,-4.8,492.98
55,23,-4.8,489.05
56,23,-4.8,483.04
57,23,-4.8,475.72
58,23,-4.8,466.05
59,23,-4.8,454.02
60,23,-4.8,441.41
60,26,-4.8,494.9
61,23,-4.8,428.69
61,26,-4.8,492.84
62,23,-4.8,416.31
62,26,-4.8,488.38
63,23,-4.8,403.97
63,26,-4.8,481.94
64,23,-4.8,391.11
64,26,-4.8,473.78
65,23,-4.8,378.05
65,26,-4.8,464.03
66,23,-4.8,365.77
66,26,-4.8,452.59
67,23,-4.8,352.79
67,26,-4.8,438.97
68,23,-4.8,339.91
68,26,-4.8,425.65
69,23,-4.8,328.12
69,26,-4.8,411.69
70,23,-4.8,315.86
70,26,-4.8,398.15
71,23,-4.8,303.11
71,26,-4.8,384.65
72,23,-4.8,291.19
72,26,-4.8,371.79
73,23,-1.6,278.26
73,26,-4.8,357.96
74,23,-1.6,265.27
74,26,-4.8,345.04
75,23,-1.6,253.16
75,26,-4.8,331.64
76,23,-1.6,241.14
76,26,-4.8,318.66
77,23,-1.6,228.13
77,26,-1.6,305.05
78,23,-1.6,216.05
78,26,-1.6,291.63
79,23,-1.6,203.7
79,26,-1.6,277.55
80,23,-1.6,190.86
80,26,-1.6,264.26
81,23,-1.6,178.22
81,26,-1.6,250.97
82,23,-1.6,165.88
82,26,-1.6,237.85
83,23,-1.6,153.36
83,26,-1.6,224.56
84,23,-1.6,141.38
84,26,-1.6,210.69
85,23,-1.6,128.31
85,26,-1.6,197.3
86,23,-1.6,116.14
86,26,-1.6,184.32
87,23,-1.6,103.3
87,26,-1.6,171.06
88,23,-1.6,90.72
88,26,-1.6,157.32
89,23,-1.6,78.11
89,26,-1.6,143.77
90,23,-1.6,65.44
90,26,-1.6,130.46
91,23,-1.6,52.73
91,26,-1.6,117.35
92,23,-1.6,39.99
92,26,-1.6,104.07
93,23,-1.6,27.25
93,26,-1.6,90.28
94,23,-1.6,14.7
94,26,-1.6,76.7
95,23,-1.07,6.69
95,26,-1.6,62.94
96,23,3.57,0.1
96,26,-1.6,49.07
97,23,10.81,-1.6
97,26,-1.6,35.55
98,23,20.7,-1.6
98,26,-1.6,22.33
99,23,32.37,-1.6
99,26,-1.6,11.0
100,23,45.37,-1.6
100,26,0.91,2.22
101,23,58.35,-1.6
101,26,9.06,-1.41
102,23,70.82,-1.6
102,26,17.73,-1.6
103,23,83.01,-1.6
103,26,28.21,-1.6
104,23,96.03,-1.6
104,26,40.74,-1.6
105,23,108.33,-1.6
105,26,54.69,-1.6
106,23,121.13,-1.6
106,26,67.92,-1.6
107,23,133.53,-4.8
107,26,81.57,-1.6
108,23,145.71,-4.8
108,26,95.07,-1.6
109,23,158.0,-4.8
109,26,108.99,-1.6
110,23,170.51,-4.8
110,26,122.75,-1.6
111,23,182.95,-4.8
111,26,136.69,-1.6
112,23,195.13,-4.8
112,26,150.51,-1.6
113,23,207.24,-4.8
113,26,164.19,-1.6
114,23,219.96,-4.8
114,26,178.24,-1.6
115,23,232.89,-4.8
115,26,191.26,-1.6
116,23,244.92,-4.8
116,26,204.46,-1.6
117,23,257.77,-4.8
117,26,218.58,-1.6
118,23,270.66,-4.8
118,26,232.44,-1.6
119,23,282.83,-4.8
119,26,246.13,-1.6
120,23,295.43,-4.8
120,26,260.11,-1.6
121,23,308.2,-4.8
121,26,273.43,-1.6
122,23,320.23,-4.8
122,26,286.8,-1.6
123,23,332.96,-4.8
123,26,300.64,-1.6
124,23,345.63,-4.8
124,26,313.9,-1.6
125,23,357.58,-4.8
125,26,327.52,-1.6
126,23,370.03,-4.8
126,26,341.32,-1.6
127,23,381.81,-4.8
127,26,354.79,-1.6
128,23,393.87,-4.8
128,26,368.2,-1.6
129,23,406.17,-4.8
129,26,382.3,-1.6
130,23,419.23,-4.8
130,26,395.69,-1.6
131,23,431.47,-4.8
131,26,409.28,-1.6
132,23,444.35,-4.8
132,26,422.22,-1.6
133,23,456.38,-4.8
133,26,435.47,-1.6
134,23,468.9,-4.8
134,26,448.86,-1.6
135,23,481.74,-4.8
135,26,462.9,-1.6
136,23,493.67,-4.8
136,26,476.83,-1.6
137,26,490.49,-1.6
