time,vehicle_id,x,y
149,65,495.41,-44.71
150,65,492.95,-44.47
151,65,488.7,-44.04
152,65,481.91,-43.36
153,65,472.57,-42.43
154,65,461.48,-41.32
155,65,449.68,-40.14
156,65,437.85,-38.96
157,65,425.75,-37.75
158,65,414.17,-36.59
159,65,402.6,-35.43
160,65,391.06,-34.28
161,65,378.94,-33.07
162,65,367.16,-31.89
163,65,355.75,-30.75
164,65,343.62,-29.54
165,65,331.35,-28.31
166,65,319.03,-27.08
167,65,306.86,-25.86
168,65,295.08,-27.9
169,65,282.89,-26.68
170,65,271.27,-25.52
171,65,259.88,-24.38
172,65,248.05,-23.2
173,65,236.68,-22.06
174,65,225.0,-20.89
175,65,212.58,-19.65
176,65,201.19,-18.51
177,65,188.98,-17.29
178,65,177.59,-16.15
179,65,165.86,-14.98
180,65,154.26,-13.82
181,65,142.77,-12.67
182,65,131.47,-11.54
183,65,119.54,-10.34
184,65,107.86,-9.18
185,65,96.66,-8.06
186,65,84.85,-6.88
186,81,495.41,-44.71
187,65,73.08,-5.7
187,81,492.98,-44.47
188,65,61.02,-4.49
188,81,488.85,-44.06
189,65,48.93,-3.28
189,81,483.35,-43.51
190,65,40.0,-2.39
190,81,475.37,-42.71
191,65,35.55,-1.94
191,81,465.55,-41.73
192,65,33.97,-1.79
192,81,453.49,-40.52
193,65,33.9,-1.78
193,81,439.36,-39.11
194,65,33.9,-1.78
194,81,424.34,-37.61
195,65,33.9,-1.78
195,81,409.0,-36.07
196,65,33.9,-1.78
196,81,394.25,-34.6
197,65,33.9,-1.78
197,81,379.76,-33.15
198,65,33.9,-1.78
198,81,364.76,-34.87
199,65,33.9,-1.78
199,81,349.58,-33.35
200,65,33.9,-1.78
200,81,334.84,-31.88
201,65,33.9,-1.78
201,81,319.68,-30.36
202,65,33.9,-1.78
202,81,304.74,-28.87
202,88,495.41,-44.71
203,65,33.9,-1.78
203,81,289.38,-27.33
203,88,493.09,-44.48
204,65,33.9,-1.78
204,81,275.04,-25.9
204,88,489.28,-44.1
205,65,33.9,-1.78
205,81,260.44,-24.44
205,88,483.56,-43.53
206,65,33.9,-1.78
206,81,245.74,-22.97
206,88,475.88,-42.76
207,65,33.9,-1.78
207,81,231.22,-21.51
207,88,466.47,-41.82
208,65,33.9,-1.78
208,81,215.92,-19.98
208,88,455.69,-40.74
209,65,33.9,-1.78
209,81,200.73,-18.46
209,88,442.77,-39.45
210,65,33.35,-1.72
210,81,186.39,-17.03
210,88,429.21,-38.09
211,65,30.99,-1.49
211,81,171.61,-15.55
211,88,415.58,-36.73
212,65,26.38,-1.03
212,81,156.84,-14.07
212,88,402.14,-35.39
213,65,20.81,-0.47
213,81,142.23,-12.61
213,88,388.93,-34.07
214,65,13.76,0.24
214,81,127.0,-11.09
214,88,374.67,-32.64
215,65,6.5,0.39
215,81,112.01,-9.59
215,88,361.14,-31.29
216,65,0.25,-2.87
216,81,96.71,-8.06
216,88,347.53,-29.93
217,65,-2.5,-9.68
217,81,81.47,-6.54
217,88,333.34,-31.73
218,65,-3.33,-17.18
218,81,67.03,-5.09
218,88,319.08,-30.3
219,65,-4.23,-26.24
219,81,52.19,-3.61
219,88,305.68,-28.96
220,65,-5.27,-36.64
220,81,37.77,-2.17
220,88,291.85,-27.58
221,65,-6.45,-48.37
221,81,22.88,-0.68
221,88,278.09,-26.2
222,65,-7.58,-59.74
222,81,14.95,0.12
222,88,263.89,-24.78
223,65,-8.83,-72.16
223,81,11.51,0.46
223,88,249.77,-23.37
224,65,-10.01,-83.98
224,81,11.51,0.46
224,88,236.32,-22.02
225,65,-11.13,-95.16
225,81,11.51,0.46
225,88,222.28,-20.62
226,65,-12.34,-107.27
226,81,11.51,0.46
226,88,208.97,-19.29
227,65,-13.47,-118.56
227,81,11.51,0.46
227,88,195.49,-17.94
228,65,-14.69,-130.82
228,81,11.51,0.46
228,88,182.16,-16.61
229,65,-19.0,-141.78
229,81,11.51,0.46
229,88,169.04,-15.29
230,65,-20.21,-153.81
230,81,11.51,0.46
230,88,154.68,-13.86
231,65,-21.39,-165.62
231,81,11.51,0.46
231,88,140.4,-12.43
232,65,-22.53,-177.02
232,81,11.51,0.46
232,88,127.22,-11.11
233,65,-23.71,-188.81
233,81,11.51,0.46
233,88,114.0,-9.79
234,65,-24.91,-200.83
234,81,11.51,0.46
234,88,100.13,-8.4
235,65,-26.05,-212.23
235,81,11.51,0.46
235,88,86.35,-7.02
236,65,-27.18,-223.53
236,81,11.51,0.46
236,88,72.93,-5.68
237,65,-28.34,-235.17
237,81,11.51,0.46
237,88,58.57,-4.25
238,65,-29.49,-246.68
238,81,11.51,0.46
238,88,45.06,-2.9
239,65,-30.69,-258.64
239,81,11.51,0.46
239,88,31.96,-1.59
240,65,-31.9,-270.71
240,81,11.51,0.46
240,88,23.34,-0.72
241,65,-33.06,-282.32
241,81,11.51,0.46
241,88,19.01,-0.29
242,65,-34.24,-294.14
242,81,11.51,0.46
242,88,18.98,-0.29
243,65,-35.46,-306.32
243,81,11.51,0.46
243,88,18.97,-0.29
244,65,-36.65,-318.23
244,81,11.51,0.46
244,88,18.97,-0.29
245,65,-37.8,-329.78
245,81,11.51,0.46
245,88,18.97,-0.29
246,65,-39.01,-341.86
246,81,11.51,0.46
246,88,18.97,-0.29
247,65,-40.17,-353.43
247,81,11.51,0.46
247,88,18.97,-0.29
248,65,-41.3,-364.7
248,81,11.51,0.46
248,88,18.97,-0.29
249,65,-42.49,-376.59
249,81,11.51,0.46
249,88,18.97,-0.29
250,65,-43.62,-387.95
250,81,11.51,0.46
250,88,18.97,-0.29
251,65,-44.81,-399.8
251,81,11.51,0.46
251,88,18.97,-0.29
252,65,-46.0,-411.72
252,81,11.51,0.46
252,88,18.97,-0.29
253,65,-47.18,-423.51
253,81,11.51,0.46
253,88,18.97,-0.29
254,65,-48.42,-435.94
254,81,11.51,0.46
254,88,18.97,-0.29
255,65,-49.6,-447.74
255,81,11.51,0.46
255,88,18.97,-0.29
256,65,-50.84,-460.09
256,81,11.51,0.46
256,88,18.97,-0.29
257,65,-52.02,-471.92
257,81,11.51,0.46
257,88,18.97,-0.29
258,65,-53.15,-483.27
258,81,11.51,0.46
258,88,18.97,-0.29
259,65,-54.32,-494.87
259,81,11.51,0.46
259,88,18.97,-0.29
260,81,11.51,0.46
260,88,18.97,-0.29
261,81,11.51,0.46
261,88,18.97,-0.29
262,81,11.51,0.46
262,88,18.97,-0.29
263,81,11.51,0.46
263,88,18.97,-0.29
264,81,11.51,0.46
264,88,18.97,-0.29
265,81,11.51,0.46
265,88,18.97,-0.29
266,81,11.51,0.46
266,88,18.97,-0.29
267,81,11.51,0.46
267,88,18.97,-0.29
268,81,11.51,0.46
268,88,18.97,-0.29
269,81,11.51,0.46
269,88,18.97,-0.29
270,81,11.51,0.46
270,88,18.97,-0.29
271,81,11.51,0.46
271,88,18.97,-0.29
272,81,11.51,0.46
272,88,18.97,-0.29
273,81,11.51,0.46
273,88,18.97,-0.29
274,81,11.51,0.46
274,88,18.97,-0.29
275,81,11.51,0.46
275,88,18.97,-0.29
276,81,11.51,0.46
276,88,18.97,-0.29
277,81,11.51,0.46
277,88,18.97,-0.29
278,81,11.51,0.46
278,88,18.97,-0.29
279,81,11.51,0.46
279,88,18.97,-0.29
280,81,11.51,0.46
280,88,18.97,-0.29
281,81,11.51,0.46
281,88,18.97,-0.29
282,81,11.51,0.46
282,88,18.97,-0.29
283,81,11.51,0.46
283,88,18.97,-0.29
284,81,11.51,0.46
284,88,18.97,-0.29
285,81,11.51,0.46
285,88,18.97,-0.29
286,81,11.51,0.46
286,88,18.97,-0.29
287,81,11.51,0.46
287,88,18.97,-0.29
288,81,11.51,0.46
288,88,18.97,-0.29
289,81,11.51,0.46
289,88,18.97,-0.29
290,81,11.51,0.46
290,88,18.97,-0.29
291,81,11.51,0.46
291,88,18.97,-0.29
292,81,11.51,0.46
292,88,18.97,-0.29
293,81,11.51,0.46
293,88,18.97,-0.29
