time,vehicle_id,x,y
3,1,494.9,4.8
4,1,492.7,4.8
5,1,488.48,4.8
6,1,481.68,4.8
7,1,472.7,4.8
8,1,461.78,4.8
9,1,448.56,4.8
10,1,434.91,4.8
11,1,421.03,4.8
12,1,406.82,4.8
13,1,392.1,4.8
14,1,378.62,4.8
15,1,364.79,4.8
16,1,351.09,4.8
17,1,337.56,4.8
18,1,323.54,4.8
19,1,309.88,1.6
20,1,296.38,1.6
21,1,281.74,1.6
22,1,267.26,1.6
23,1,252.93,1.6
24,1,239.44,1.6
25,1,224.98,1.6
26,1,211.16,1.6
27,1,197.03,1.6
28,1,183.16,1.6
29,1,168.49,1.6
30,1,154.16,1.6
31,1,140.14,1.6
32,1,126.3,1.6
33,1,111.83,1.6
34,1,97.52,1.6
35,1,83.19,1.6
36,1,68.56,1.6
37,1,55.11,1.6
38,1,40.39,1.6
39,1,27.63,1.6
40,1,18.59,1.6
40,17,494.9,4.8
41,1,13.3,1.6
41,17,492.62,4.8
42,1,12.26,1.6
42,17,488.88,4.8
43,1,11.67,1.6
43,17,483.82,4.8
44,1,11.41,1.6
44,17,476.24,4.8
45,1,11.4,1.6
45,17,466.14,4.8
46,1,11.4,1.6
46,17,453.93,4.8
47,1,11.4,1.6
47,17,439.58,4.8
48,1,11.4,1.6
48,17,426.17,4.8
49,1,11.4,1.6
49,17,411.67,4.8
49,21,494.9,4.8
50,1,11.4,1.6
50,17,397.28,4.8
50,21,492.73,4.8
51,1,11.4,1.6
51,17,383.42,4.8
51,21,488.58,4.8
52,1,11.4,1.6
52,17,369.52,4.8
52,21,483.1,4.8
53,1,11.4,1.6
53,17,356.13,4.8
53,21,475.27,4.8
54,1,11.4,1.6
54,17,342.14,4.8
54,21,464.95,4.8
55,1,11.4,1.6
55,17,328.72,4.8
55,21,453.72,4.8
56,1,11.4,1.6
56,17,314.66,1.6
56,21,442.43,4.8
57,1,11.4,1.6
57,17,300.86,1.6
57,21,430.9,4.8
58,1,11.4,1.6
58,17,287.45,1.6
58,21,419.37,4.8
59,1,11.4,1.6
59,17,272.91,1.6
59,21,408.08,4.8
60,1,11.4,1.6
60,17,258.62,1.6
60,21,396.61,4.8
61,1,11.4,1.6
61,17,244.19,1.6
61,21,384.79,4.8
62,1,11.4,1.6
62,17,230.46,1.6
62,21,373.16,4.8
63,1,11.4,1.6
63,17,216.48,1.6
63,21,361.62,4.8
64,1,11.4,1.6
64,17,202.21,1.6
64,21,350.68,4.8
65,1,11.4,1.6
65,17,188.21,1.6
65,21,339.6,4.8
66,1,11.4,1.6
66,17,174.44,1.6
66,21,327.56,4.8
67,1,11.4,1.6
67,17,160.31,1.6
67,21,316.14,4.8
68,1,11.4,1.6
68,17,146.51,1.6
68,21,304.42,4.8
69,1,11.4,1.6
69,17,132.0,1.6
69,21,293.47,4.8
70,1,11.4,1.6
70,17,118.13,1.6
70,21,281.82,4.8
71,1,11.4,1.6
71,17,103.63,1.6
71,21,270.3,1.6
72,1,11.4,1.6
72,17,90.2,1.6
72,21,258.91,1.6
73,1,11.4,1.6
73,17,76.27,1.6
73,21,247.78,1.6
74,1,11.4,1.6
74,17,61.91,1.6
74,21,236.11,1.6
75,1,11.4,1.6
